개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3230000,202632300000800027,서울특별시 송파구청,서울특별시 송파구 바람드리8길 4-1,서울특별시 송파구 풍납동 131-23,생활방범,2,200,,30,201801,02-2147-4657,37.53733,127.11812,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800028,서울특별시 송파구청,서울특별시 송파구 바람드리8길 4-1,서울특별시 송파구 풍납동 131-23,생활방범,1,200,,30,201801,02-2147-4657,37.53733,127.11812,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800029,서울특별시 송파구청,서울특별시 송파구 바람드리8길 4-1,서울특별시 송파구 풍납동 131-23,생활방범,3,200,,30,202509,02-2147-4657,37.53733,127.11812,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800030,서울특별시 송파구청,서울특별시 송파구 바람드리길 28,서울특별시 송파구 풍납동 130-33,생활방범,3,200,,30,201912,02-2147-4657,37.53777,127.11891,2026-05-01,,2026-05-22 22:28:26,2026-05-21 10:52:23
3230000,202632300000800031,서울특별시 송파구청,서울특별시 송파구 한가람로20길 36,서울특별시 송파구 풍납동 78-12,생활방범,2,300,,30,202009,02-2147-4657,37.53821,127.12106,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800032,서울특별시 송파구청,서울특별시 송파구 풍성로23길 5-3,서울특별시 송파구 풍납동 162-2,생활방범,3,300,,30,202009,02-2147-4657,37.53424,127.11889,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800033,서울특별시 송파구청,서울특별시 송파구 바람드리6길 18,서울특별시 송파구 풍납동 126-87,생활방범,3,300,,30,202009,02-2147-4657,37.53663,127.11695,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800034,서울특별시 송파구청,서울특별시 송파구 천호대로152길 7,서울특별시 송파구 풍납동 476,생활방범,3,300,,30,202009,02-2147-4657,37.53814,127.12225,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800035,서울특별시 송파구청,,서울특별시 송파구 풍납동 148-8,생활방범,1,360,,30,202108,02-2147-4657,37.53664,127.12,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800036,서울특별시 송파구청,서울특별시 송파구 풍성로25길 28,서울특별시 송파구 풍납동 484-16,생활방범,3,200,,30,202312,02-2147-4657,37.53575,127.12096,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800037,서울특별시 송파구청,서울특별시 송파구 풍성로25길 28,서울특별시 송파구 풍납동 484-16,생활방범,1,200,,30,202511,02-2147-4657,37.53575,127.12096,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800038,서울특별시 송파구청,서울특별시 송파구 바람드리12길 22-1,서울특별시 송파구 풍납동 139-12,생활방범,3,200,,30,202312,02-2147-4657,37.53611,127.11763,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800039,서울특별시 송파구청,서울특별시 송파구 풍납동 178-7 (도로),서울특별시 송파구 풍납동 126-63,생활방범,3,200,,30,202411,02-2147-4657,37.53747,127.11611,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800040,서울특별시 송파구청,서울특별시 송파구 풍납동 86-6 (도로),서울특별시 송파구 풍납동 94-6,생활방범,3,200,,30,202411,02-2147-4657,37.53897,127.11979,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800041,서울특별시 송파구청,,서울특별시 송파구 풍납동 126-22,생활방범,2,200,,30,202511,02-2147-4657,37.5375,127.11672,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800042,서울특별시 송파구청,서울특별시 송파구 풍성로25나길 11,서울특별시 송파구 풍납동 160-1,생활방범,4,200,,30,201912,02-2147-4657,37.5351,127.11971,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800043,서울특별시 송파구청,서울특별시 송파구 강동대로 76,서울특별시 송파구 풍납2동 389 풍납동 지하보도,생활방범,3,360,,30,201912,02-2147-4657,37.52622,127.11576,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800044,서울특별시 송파구청,서울특별시 송파구 풍성로4길 20,서울특별시 송파구 풍납2동 292-1,생활방범,3,200,,30,201912,02-2147-4657,37.53383,127.11281,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800045,서울특별시 송파구청,서울특별시 송파구 한가람로12길 4,서울특별시 송파구 풍납2동 297-1,생활방범,3,360,,30,202512,02-2147-4657,37.53494,127.11211,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800046,서울특별시 송파구청,서울특별시 송파구 올림픽로43길 20,서울특별시 송파구 풍납2동 389-2,생활방범,1,200,,30,202212,02-2147-4657,37.52482,127.11548,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800047,서울특별시 송파구청,서울특별시 송파구 강동대로 73,서울특별시 송파구 풍납2동 391-17(풍성초등학교),생활방범,2,200,,30,201912,02-2147-4657,37.52647,127.116,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800048,서울특별시 송파구청,서울특별시 송파구 강동대로 13(올림픽대교 아래),서울특별시 송파구 풍납2동 469-3 올림픽대교 아래,생활방범,3,360,,30,201912,02-2147-4657,37.5291,127.10917,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800049,서울특별시 송파구청,서울특별시 송파구 올림픽로45길 20,서울특별시 송파구 풍납2동 399-20,생활방범,4,360,,30,201912,02-2147-4657,37.52727,127.11616,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800050,서울특별시 송파구청,서울특별시 송파구 풍성로20길 5,서울특별시 송파구 풍납동 165-2,생활방범,4,360,,30,201912,02-2147-4657,37.53382,127.11767,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800051,서울특별시 송파구청,서울특별시 송파구 강동대로 13,서울특별시 송파구 풍납동 314 아산병원 패밀리타운 후문,생활방범,2,360,,30,202208,02-2147-4657,37.52822,127.11058,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800052,서울특별시 송파구청,서울특별시 송파구 풍성로24길 36,서울특별시 송파구 풍납동 234-6,생활방범,2,300,,30,202312,02-2147-4657,37.53122,127.11687,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800053,서울특별시 송파구청,,서울특별시 송파구 풍납동 279-29,생활방범,1,200,,30,201501,02-2147-4657,37.5329,127.11506,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800054,서울특별시 송파구청,서울특별시 송파구 토성로7길 11,서울특별시 송파구 풍납동 258-12,생활방범,1,200,,30,202512,02-2147-4657,37.53142,127.11388,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800055,서울특별시 송파구청,서울특별시 송파구 토성로6길 7,서울특별시 송파구 풍납동 269-9,생활방범,2,200,,30,202512,02-2147-4657,37.53013,127.11273,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800056,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,201701,02-2147-4657,37.53251,127.11087,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800057,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,202602,02-2147-4657,37.53251,127.11087,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800058,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,202602,02-2147-4657,37.53251,127.11087,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800059,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,202602,02-2147-4657,37.53251,127.11087,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800060,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,202602,02-2147-4657,37.53251,127.11087,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800061,서울특별시 송파구청,서울특별시 송파구 올림픽로51길 47,서울특별시 송파구 풍납동 222-13,생활방범,3,200,,30,202212,02-2147-4657,37.53368,127.11655,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800062,서울특별시 송파구청,서울특별시 송파구 풍성로6길 15,서울특별시 송파구 풍납동 220-2,생활방범,3,200,,30,201701,02-2147-4657,37.53396,127.11426,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800063,서울특별시 송파구청,서울특별시 송파구 풍성로14길 14,서울특별시 송파구 풍납동 228-4,생활방범,1,200,,30,201912,02-2147-4657,37.53323,127.11616,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800064,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,5,200,,30,201912,02-2147-4657,37.53167,127.11208,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:23
3230000,202632300000800065,서울특별시 송파구청,서울특별시 송파구 올림픽로 537-19,서울특별시 송파구 풍납동 505-2 영파여고-하이카프라자 사잇길,생활방범,2,360,,30,202009,02-2147-4657,37.53089,127.11969,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800066,서울특별시 송파구청,서울특별시 송파구 올림픽로51길 27,서울특별시 송파구 풍납동 233-2,생활방범,4,300,,30,202009,02-2147-4657,37.53264,127.11808,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800067,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,3,300,,30,202009,02-2147-4657,37.53322,127.11105,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800068,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,3,500,,30,202009,02-2147-4657,37.53322,127.11105,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800069,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,500,,30,202009,02-2147-4657,37.53322,127.11105,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800070,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,202602,02-2147-4657,37.53322,127.11105,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800071,서울특별시 송파구청,서울특별시 송파구 토성로 5,서울특별시 송파구 풍납동 309-2,생활방범,1,200,,30,202602,02-2147-4657,37.53322,127.11105,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800072,서울특별시 송파구청,서울특별시 송파구 풍성로14길 51,서울특별시 송파구 풍납동 282-2,생활방범,4,300,,30,202009,02-2147-4657,37.53312,127.11278,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800073,서울특별시 송파구청,서울특별시 송파구 풍성로14길 51,서울특별시 송파구 풍납동 282-2,생활방범,1,500,,30,202009,02-2147-4657,37.53312,127.11278,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800074,서울특별시 송파구청,서울특별시 송파구 풍성로22길 48,서울특별시 송파구 풍납동 244-29,생활방범,2,300,,30,202009,02-2147-4657,37.5302,127.11555,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800075,서울특별시 송파구청,서울특별시 송파구 토성로19길 3-13,서울특별시 송파구 풍납동 406,생활방범,5,300,,30,202104,02-2147-4657,37.52935,127.11714,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800076,서울특별시 송파구청,서울특별시 송파구 토성로19길 17,서울특별시 송파구 풍납동 407-15,생활방범,4,300,,30,202109,02-2147-4657,37.53012,127.11859,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800077,서울특별시 송파구청,서울특별시 송파구 한가람로 406,서울특별시 송파구 풍납2동 299-1,생활방범,2,200,,30,202205,02-2147-4657,37.53477,127.11179,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800078,서울특별시 송파구청,,서울특별시 송파구 풍납동 435,생활방범,2,300,,30,202205,02-2147-4657,37.52453,127.11021,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800079,서울특별시 송파구청,,서울특별시 송파구 풍납동 471,생활방범,3,300,,30,202208,02-2147-4657,37.52423,127.10371,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800080,서울특별시 송파구청,서울특별시 송파구 올림픽로51길 38,서울특별시 송파구 풍납동 231-51,생활방범,4,300,,30,202208,02-2147-4657,37.53307,127.11747,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800081,서울특별시 송파구청,서울특별시 송파구 풍성로 66,서울특별시 송파구 풍납동 156-13,생활방범,4,300,,30,202208,02-2147-4657,37.53351,127.11986,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800082,서울특별시 송파구청,서울특별시 송파구 토성로6길 14-1,서울특별시 송파구 풍납동 268-23,생활방범,3,300,,30,202312,02-2147-4657,37.53045,127.11185,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800083,서울특별시 송파구청,서울특별시 송파구 올림픽로 537,서울특별시 송파구 풍납동 505-7,생활방범,4,200,,30,202312,02-2147-4657,37.53011,127.11992,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800084,서울특별시 송파구청,서울특별시 송파구 토성로 55,서울특별시 송파구 풍납동 405,생활방범,4,200,,30,202411,02-2147-4657,37.52948,127.11596,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800085,서울특별시 송파구청,서울특별시 송파구 풍납동 217-1 (도로),서울특별시 송파구 풍납동 291-5,생활방범,3,200,,30,202411,02-2147-4657,37.53498,127.11284,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800086,서울특별시 송파구청,서울특별시 송파구 풍납동 450 (도로),서울특별시 송파구 풍납동 411-3,생활방범,3,200,,30,202411,02-2147-4657,37.53044,127.11721,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800087,서울특별시 송파구청,서울특별시 송파구 풍납동 240 (사적지),서울특별시 송파구 풍납동 268-3,생활방범,3,200,,30,202411,02-2147-4657,37.52875,127.11134,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800088,서울특별시 송파구청,서울특별시 송파구 풍납동 165-13 (도로),서울특별시 송파구 풍납동 163-13,생활방범,4,200,,30,202511,02-2147-4657,37.53221,127.11872,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800089,서울특별시 송파구청,서울특별시 송파구 올림픽로47길 22,서울특별시 송파구 풍납동 403-8,생활방범,3,200,,30,202511,02-2147-4657,37.52855,127.11656,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800090,서울특별시 송파구청,서울특별시 송파구 올림픽로45길 22,서울특별시 송파구 풍납동 399-17,생활방범,3,200,,30,202511,02-2147-4657,37.5275,127.11573,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800091,서울특별시 송파구청,,서울특별시 송파구 풍납동 227-32,생활방범,2,200,,30,202511,02-2147-4657,37.53297,127.11539,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800092,서울특별시 송파구청,서울특별시 송파구 풍성로16길 13,서울특별시 송파구 풍납동 229-26,생활방범,2,200,,30,202511,02-2147-4657,37.53318,127.11658,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800093,서울특별시 송파구청,서울특별시 송파구 올림픽로 509,서울특별시 송파구 풍납동 402-3,생활방범,4,200,,30,201701,02-2147-4657,37.52769,127.11868,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800094,서울특별시 송파구청,,서울특별시 송파구 거여동 129-49,생활방범,2,300,,30,201801,02-2147-4657,37.4977,127.14487,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800095,서울특별시 송파구청,,서울특별시 송파구 거여동 129-49,생활방범,1,200,,30,201912,02-2147-4657,37.4977,127.14487,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800096,서울특별시 송파구청,서울특별시 송파구 오금로54길 10(102동도로변),서울특별시 송파구 거여1동 358-1 현대@102동 도로변,생활방범,2,200,,30,201801,02-2147-4657,37.4931,127.14166,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800097,서울특별시 송파구청,서울특별시 송파구 양산로 21-10,서울특별시 송파구 거여동 343-3 송파공고 입구,생활방범,2,200,,30,201912,02-2147-4657,37.49125,127.14348,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800098,서울특별시 송파구청,서울특별시 송파구 거마로9길 7,서울특별시 송파구 거여동 136-106 맞은편,생활방범,4,200,,30,201912,02-2147-4657,37.49614,127.14491,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800099,서울특별시 송파구청,서울특별시 송파구 성내천로 126-13,서울특별시 송파구 거여동 5-3,생활방범,2,360,,30,201912,02-2147-4657,37.49857,127.14199,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800100,서울특별시 송파구청,서울특별시 송파구 오금로51길 16,서울특별시 송파구 거여동 13-19,생활방범,3,200,,30,202312,02-2147-4657,37.49676,127.14075,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800101,서울특별시 송파구청,서울특별시 송파구 오금로53길 51,서울특별시 송파구 거여동 128-3,생활방범,3,200,,30,202512,02-2147-4657,37.49839,127.14456,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800102,서울특별시 송파구청,서울특별시 송파구 오금로53길 51,서울특별시 송파구 거여동 128-3,생활방범,1,500,,30,201912,02-2147-4657,37.49839,127.14456,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800103,서울특별시 송파구청,서울특별시 송파구 거마로 55길,서울특별시 송파구 거여1동 133-82,생활방범,1,200,,30,202312,02-2147-4657,37.49775,127.14625,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800104,서울특별시 송파구청,서울특별시 송파구 오금로51길 20,서울특별시 송파구 거여동 11,생활방범,2,200,,30,201601,02-2147-4657,37.4974,127.14107,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800105,서울특별시 송파구청,서울특별시 송파구 오금로 472 건너편,서울특별시 송파구 거여동 552-4,생활방범,1,200,,30,201912,02-2147-4657,37.49411,127.14151,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800106,서울특별시 송파구청,서울특별시 송파구 오금로 472 건너편,서울특별시 송파구 거여동 552-4,생활방범,1,200,,30,201601,02-2147-4657,37.49411,127.14151,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800107,서울특별시 송파구청,서울특별시 송파구 오금로53길 39-2,서울특별시 송파구 거여동 135-12,생활방범,4,200,,30,201801,02-2147-4657,37.4978,127.14395,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
3230000,202632300000800108,서울특별시 송파구청,서울특별시 송파구 양산로 5,서울특별시 송파구 거여동 289-5,생활방범,2,200,,30,201801,02-2147-4657,37.48974,127.14287,2026-05-01,,2026-05-22 22:28:27,2026-05-21 10:52:24
